HDI rank,Country,GER-Pre-primary-female(2015),GER-Primary-female(2015),GER-Secondary-female(2015),Youth unemployment rate - ratio (2015),Total unempoyment rate - ratio(2015),"Share of paid employment in non-agriculture, female(2015)","Life expectancy at age 50, female(2015)",Old-age pension recipients-ratio(2006-2013)
94,Jamaica,108,..,72,1.28,1.80,..,32.1,..
95,Colombia,55,112,103,1.28,1.72,46.5,31.1,0.65
96,Dominica,82,118,100,..,..,..,..,..
97,Suriname,96,118,89,1.61,2.79,..,28.5,..
97,Tunisia,43,111,94,1.02,1.52,..,30.1,..
99,Dominican Republic,45,96,82,1.43,2.46,48.6,31.4,0.38
99,Saint Vincent and the Grenadines,70,103,103,1.13,0.94,..,29.1,..
101,Tonga,38,107,94,1.20,2.07,..,29.3,..
102,Libya,..,..,..,1.20,1.73,..,28.3,..
103,Belize,51,109,82,1.55,2.61,43.4,26.7,..
104,Samoa,39,106,92,1.14,1.30,37.6,29.9,..
105,Maldives,..,..,..,0.93,1.43,40.4,29.0,..
105,Uzbekistan,25,96,95,1.05,1.00,..,28.0,..
107,Moldova (Republic of),83,93,88,0.83,0.67,56.1,27.9,1.21
108,Botswana,18,107,86,1.16,1.34,..,25.7,1.00
109,Gabon,38,140,..,1.16,2.00,..,26.9,..
110,Paraguay,38,104,79,1.27,1.62,42.8,30.4,0.80
111,Egypt,30,104,86,1.30,3.03,18.2,26.7,0.13
111,Turkmenistan,62,89,84,1.04,0.99,..,26.8,..
113,Indonesia,59,104,82,1.06,1.22,35.8,26.0,..
114,"Palestine, State of",51,95,86,1.07,1.22,16.9,28.3,..
115,Viet Nam,80,109,..,1.10,1.07,43.1,33.6,..
116,Philippines,..,117,93,1.07,0.92,41.3,26.4,..
117,El Salvador,73,110,81,0.98,0.58,37.0,31.1,0.33
118,Bolivia (Plurinational State of),63,..,84,1.20,1.55,..,30.0,1.00
119,South Africa,76,97,104,1.07,1.18,45.7,24.5,..
120,Kyrgyzstan,25,107,91,1.14,1.30,42.3,28.0,1.00
121,Iraq,..,..,..,1.14,1.81,15.4,26.9,..
122,Cabo Verde,70,110,99,1.33,1.36,..,28.3,0.88
123,Morocco,53,113,64,0.98,1.05,21.5,28.4,..
124,Nicaragua,59,123,79,1.14,1.04,..,31.8,0.38
125,Guatemala,66,102,62,1.20,1.26,38.6,30.7,0.57
125,Namibia,22,110,..,1.11,1.22,..,26.1,..
127,Guyana,93,84,89,1.22,1.70,..,24.4,1.00
127,Micronesia (Federated States of),..,97,..,..,..,..,26.1,..
129,Tajikistan,10,98,83,0.90,0.85,..,29.1,0.75
130,Honduras,48,108,74,1.30,1.48,41.7,31.8,0.42
131,India,9,117,69,1.01,1.14,..,26.6,..
132,Bhutan,18,103,87,1.08,1.60,26.3,27.3,..
133,Timor-Leste,17,136,76,1.28,1.61,..,26.0,1.00
134,Vanuatu,97,122,59,1.06,1.31,..,27.7,..
135,Congo,14,115,51,1.08,1.20,..,26.4,0.11
135,Equatorial Guinea,68,84,..,1.10,1.11,..,25.1,..
137,Kiribati,..,115,..,..,..,..,25.9,..
138,Lao People's Democratic Republic,31,113,55,0.78,0.75,..,25.3,..
139,Bangladesh,32,115,61,1.03,1.15,..,27.6,..
139,Ghana,122,110,69,1.12,1.14,..,23.9,..
139,Zambia,..,104,..,0.96,1.02,..,26.1,..
142,Sao Tome and Principe,54,111,89,1.13,1.35,..,27.0,..
143,Cambodia,18,113,..,0.79,0.63,38.7,26.0,..
144,Nepal,84,141,70,0.81,0.81,..,26.3,..
145,Myanmar,24,98,52,1.10,1.17,..,25.5,..
146,Kenya,73,112,65,1.03,1.35,35.7,26.3,..
147,Pakistan,66,86,37,1.12,2.16,11.1,26.2,..
148,Swaziland,26,108,62,1.02,1.16,..,24.1,..
149,Syrian Arab Republic,6,79,51,1.25,3.27,16.3,29.7,..
150,Angola,94,100,23,1.08,1.21,..,23.5,..
151,Tanzania (United Republic of),33,87,31,1.22,1.88,36.4,26.9,..
152,Nigeria,13,81,41,1.27,1.25,..,21.2,..
153,Cameroon,35,107,52,1.20,1.42,..,24.1,0.29
154,Papua New Guinea,..,109,35,1.08,1.30,..,23.7,..
154,Zimbabwe,43,99,47,1.12,1.37,36.6,24.7,..
156,Solomon Islands,98,112,47,1.00,1.03,..,25.9,..
157,Mauritania,4,101,29,1.19,1.22,..,25.2,..
158,Madagascar,14,147,38,1.13,1.67,37.3,25.4,..
159,Rwanda,15,135,41,1.07,1.06,..,26.5,..
160,Comoros,24,102,60,1.02,1.34,..,24.8,..
160,Lesotho,32,106,60,1.20,1.31,..,21.6,1.00
162,Senegal,16,84,38,1.35,1.73,..,25.7,..
163,Haiti,..,..,..,1.18,1.33,..,26.5,..
163,Uganda,11,111,26,1.04,1.31,29.8,25.5,..
165,Sudan,35,67,41,1.20,1.70,..,26.2,..
166,Togo,15,121,..,1.10,1.21,..,23.1,..
167,Benin,21,120,44,1.56,1.33,26.0,24.0,..
168,Yemen,1,89,40,1.17,2.07,..,24.9,..
169,Afghanistan,..,92,40,1.01,1.50,..,24.0,..
170,Malawi,..,148,38,0.95,1.11,..,28.3,..
171,Côte d'Ivoire,7,84,33,1.24,1.27,..,21.2,..
172,Djibouti,4,62,42,..,..,..,25.8,..
173,Gambia,35,88,56,1.15,1.77,..,23.7,..
174,Ethiopia,24,96,35,1.61,2.71,38.8,26.3,..
175,Mali,4,73,37,1.35,1.86,..,23.0,0.44
176,Congo (Democratic Republic of the),4,102,33,1.23,1.46,..,24.8,..
177,Liberia,..,92,33,1.22,0.98,..,23.7,..
178,Guinea-Bissau,7,110,..,1.08,1.20,..,23.2,..
179,Eritrea,15,47,32,1.09,1.21,..,24.3,..
179,Sierra Leone,10,130,40,0.70,0.47,..,19.6,..
181,Mozambique,..,100,24,0.98,1.18,33.5,25.1,0.80
181,South Sudan,6,67,..,..,..,..,24.1,..
183,Guinea,15,84,31,0.69,0.34,18.3,23.0,..
